optimizer,learning_rate,accuracy,precision,recall,F1_score,n_components,failure
Adam,0.001,0.6240452616690241,0.5972454090150251,0.7972144846796657,0.6828919112383679,3,False
Adam,0.005,0.5077793493635078,0.5077837531842627,0.9994428969359331,0.6734234234234234,3,False
Adam,0.01,0.5072135785007073,0.507504956103087,0.9983286908077994,0.672925272249343,3,False
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
SGD,0.001,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
SGD,0.005,0.5093352192362093,0.5803452855245684,0.12172701949860724,0.2012433801519687,3,False
SGD,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
Adam,0.001,0.6294200848656294,0.5947712418300654,0.8580144204104271,0.7025431425976385,4,False
Adam,0.005,0.5100424328147101,0.5100452744765138,0.9997226844148641,0.6754731122353381,4,False
Adam,0.01,0.5097595473833098,0.5099037917374081,0.9994453688297282,0.6752857410530261,4,False
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
SGD,0.001,0.4909476661951909,0.5777777777777777,0.007210205213533,0.014242673240208161,4,False
SGD,0.005,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
SGD,0.01,0.49745403111739744,0.5456110154905336,0.08790904048807544,0.15142106520181514,4,False
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
Adam,0.001,0.6247524752475248,0.5918784029038112,0.7533930118394455,0.6629399059839919,5,False
Adam,0.005,0.49024045261669025,0.4900212314225053,0.9997112330349408,0.6576747720364742,5,False
Adam,0.01,0.48995756718528993,0.4898768228797961,0.9991336991048224,0.6574197225916777,5,False
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,True
SGD,0.001,0.48981612446958983,0.48981612446958983,1.0,0.6575524541915884,5,False
SGD,0.005,0.485997171145686,0.4585956416464891,0.2734623159110598,0.3426193921852388,5,False
SGD,0.01,0.48981612446958983,0.48981612446958983,1.0,0.6575524541915884,5,False
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,True
Adam,0.001,0.6311173974540312,0.6145445519980144,0.7012177853299348,0.655026455026455,6,False
Adam,0.005,0.5043847241867044,0.7647058823529411,0.011045029736618521,0.021775544388609715,6,False
Adam,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
SGD,0.001,0.49915134370579917,0.49929238607415793,0.9991503823279524,0.6658488251391903,6,False
SGD,0.005,0.4994342291371994,0.4994342291371994,1.0,0.6661635694745779,6,False
SGD,0.01,0.4994342291371994,0.4994342291371994,1.0,0.6661635694745779,6,False
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
Adam,0.001,0.6492220650636492,0.6466499860995274,0.657991513437058,0.6522714526079642,7,False
Adam,0.005,0.49448373408769447,0.27586206896551724,0.006789250353606789,0.013252346769740474,7,False
Adam,0.01,0.500990099009901,0.7333333333333333,0.0031117397454031117,0.006197183098591548,7,False
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,True
SGD,0.001,0.5,0.5,1.0,0.6666666666666666,7,False
SGD,0.005,0.5053748231966054,0.5334507042253521,0.08571428571428572,0.14769680721423348,7,False
SGD,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,True
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,True
Adam,0.001,0.641018387553041,0.6193737769080235,0.7205463858850313,0.6661404893449092,8,False
Adam,0.005,0.5091937765205092,0.7244897959183674,0.020204894706886738,0.039313399778516056,8,False
Adam,0.01,0.49688826025459687,0.49695855142170037,0.9997154240182129,0.6638949258244354,8,False
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,8,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,8,True
SGD,0.001,0.5091937765205092,0.5290237467018469,0.114114968696642,0.18773408239700376,8,False
SGD,0.005,0.5024045261669025,0.42857142857142855,0.003414911781445646,0.006775832862789385,8,False
SGD,0.01,0.5087694483734088,0.5426195426195426,0.0742743312464428,0.13066332916145182,8,False
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,8,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,8,True
Adam,0.001,0.6516265912305517,0.6143313555454131,0.7769119769119769,0.6861220848732,9,False
Adam,0.005,0.4900990099009901,0.4900990099009901,1.0,0.6578073089700996,9,False
Adam,0.01,0.48995756718528993,0.4900268779176687,0.9997113997113997,0.6576798936776154,9,False
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,9,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,9,True
SGD,0.001,0.4900990099009901,0.4900990099009901,1.0,0.6578073089700996,9,False
SGD,0.005,0.4900990099009901,0.4900990099009901,1.0,0.6578073089700996,9,False
SGD,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,9,True
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,9,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,9,True
Adam,0.001,0.6207920792079208,0.6330911492734478,0.5497562374533983,0.5884881043745203,10,False
Adam,0.005,0.5080622347949081,0.8461538461538461,0.0031545741324921135,0.006285714285714286,10,False
Adam,0.01,0.4932107496463932,0.4932107496463932,1.0,0.6606043383536989,10,False
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,10,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,10,True
SGD,0.001,Couldn't compute,Couldn't compute,Couldn't compute,NA,10,True
SGD,0.005,0.4932107496463932,0.4932107496463932,1.0,0.6606043383536989,10,False
SGD,0.01,0.4932107496463932,0.4932107496463932,1.0,0.6606043383536989,10,False
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,10,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,10,True
